FPR,TPR,Threshold
0.0,0.0,1.9967977325564579
0.0,0.027777777777777776,0.9967977325564579
0.0,0.5,0.9779034727432493
0.05555555555555555,0.5,0.9748218198010454
0.05555555555555555,0.8888888888888888,0.9346185368669473
0.1111111111111111,0.8888888888888888,0.8958903402624211
0.1111111111111111,0.9166666666666666,0.8808228251267787
0.2222222222222222,0.9166666666666666,0.32726520807000564
0.2222222222222222,0.9722222222222222,0.21144999351719132
0.3888888888888889,0.9722222222222222,0.031211260253718086
0.3888888888888889,1.0,0.02474504655709998
1.0,1.0,0.001026127366183738
