FPR,TPR,Threshold
0.0,0.0,1.8810433890538856
0.0,0.010752688172043012,0.8810433890538856
0.0,0.021505376344086023,0.8614591058943016
0.041666666666666664,0.021505376344086023,0.8468472922589473
0.041666666666666664,0.06451612903225806,0.8354026131792892
0.0625,0.06451612903225806,0.8311940761001055
0.0625,0.13978494623655913,0.8197154204323828
0.08333333333333333,0.13978494623655913,0.8165828483584091
0.08333333333333333,0.16129032258064516,0.815067362251781
0.125,0.16129032258064516,0.813751439704931
0.125,0.17204301075268819,0.81299553808607
0.14583333333333334,0.17204301075268819,0.8116714302034357
0.14583333333333334,0.21505376344086022,0.8075991430386888
0.16666666666666666,0.21505376344086022,0.8075879682132664
0.16666666666666666,0.27956989247311825,0.8028715073946612
0.1875,0.27956989247311825,0.8023157783287219
0.1875,0.3010752688172043,0.8012434764649583
0.20833333333333334,0.3010752688172043,0.8002108478579736
0.20833333333333334,0.3225806451612903,0.7989973912548314
0.22916666666666666,0.3225806451612903,0.7988339606130096
0.22916666666666666,0.3333333333333333,0.7986004454906372
0.25,0.3333333333333333,0.7976209043522643
0.25,0.3870967741935484,0.7956463306352961
0.2708333333333333,0.3870967741935484,0.795602193452781
0.2708333333333333,0.45161290322580644,0.7942319915995119
0.2916666666666667,0.45161290322580644,0.7937208052800158
0.2916666666666667,0.4838709677419355,0.7914116828679506
0.3125,0.4838709677419355,0.790704622044048
0.3125,0.4946236559139785,0.7906151608931178
0.3333333333333333,0.4946236559139785,0.7900529003616106
0.3333333333333333,0.5376344086021505,0.7880098881257822
0.3541666666666667,0.5376344086021505,0.7859493242327277
0.3541666666666667,0.5913978494623656,0.7847891969819948
0.375,0.5913978494623656,0.7844009903168255
0.375,0.7419354838709677,0.7749265621005208
0.3958333333333333,0.7419354838709677,0.7733978465401177
0.3958333333333333,0.8064516129032258,0.7688404506772788
0.4375,0.8064516129032258,0.7665444465131538
0.4375,0.8172043010752689,0.7662021963289943
0.4583333333333333,0.8172043010752689,0.7655220866963662
0.4583333333333333,0.956989247311828,0.7400593516790509
0.4791666666666667,0.956989247311828,0.7322030894621252
0.4791666666666667,1.0,0.6810302226767482
1.0,1.0,0.09435681130340018
